Row Labels;Count of warna;;Row Labels;Count of bentuk;;Row Labels;Count of penyakit;;;;;;;;;
coklat muda;76;;cair;151;;cocci;76;;;;;;;;;
coklat tua;72;;padat;144;;healthy;70;;;;;;;;;
hijau muda;73;;Grand Total;295;;ncd;73;;;;;;;;;
hitam;74;;;;;salmo;76;;;;;;;;;
Grand Total;295;;;;;Grand Total;295;;;;;;;;;
;;;;;;;entropy node;avg ent;information gain;;Jenis Pengguna;Kemampuan Pengguna;;;;
Row Labels;Count of bentuk;;Row Labels;Count of kristal;;penyakit;1,999;;;;Pengguna;Keterampilan menggunakan komputer;Pernah mengoperasikan minimal 1 bulan;;;
cair;151;;tidak;170;;coklat muda;0;0,046;1,953;;;;;;;
padat;144;;ya;125;;coklat tua;0,183;;;;;Tingkat pendidikan;Sekolah menengah keatas;;;
Grand Total;295;;Grand Total;295;;hijau muda;0;;;;;Kemampuan mengetik;Mempunyai keterampilan mengetik;;;
;;;;;;hitam;0;;;;;;;;;
;;;;;;cair;1,120;1,086;0,913;;;;;;;
;;;;;;padat;1,053;;;;;Kemampuan berbahasa;Dapat berbahasa Indonesia;;;
;;;;;;tidak;1,522;1,256;0,743;;;;;;;
Row Labels;Count of penyakit;;;;;ya;0,990;;;;;;;;;
coklat muda;76;;;;;;;;;;;;;;;
cocci;76;;;;;;;;;;;;;;;
coklat tua;72;;;;;;;;;;;;;;;
healthy;70;;;;;;;;;;;;;;;
salmo;2;;;;0;-1,956643631;;;;;;;;;;
hijau muda;73;;;;;1,699016512;;;;;;;;;;
ncd;73;;;;;;;;;;;;;;;
hitam;74;;;;;;;;;;;;;;;
salmo;74;;;;;;;;;;;;;;;
Grand Total;295;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Processor;Intel® Core™ i5-7200U CPU @ 2.50 Ghz
;;;;;;;;;;;;;;;RAM;1 x 4096 MB (4 GB DDR4-2400 / Pc4-19200) (2 Slot Memory Available) + Free Slot M2
;;;;;;;;;;;;;;;Storage;HDD 1 TB
;;;;;;;;;;;;;;;Display;14? HD Acer CineCrystal™ LCD (1366 x 768)
;;;;;;;;;;;;;;;VGA;Intel ® HD Graphics 620+NVIDIA GeForce 940MX(2 GB GDDR5), Dedicated 128 mb, Shared 1982 mb, Up to 2110 mb
;;;;;;;;;;;;;;;Camera;HD Camera
;;;;;;;;;;;;;;;Battery;4-Cell li-ion battery
;;;;;;;;;;;;;;;Interfaces;cardreader, 1 Port USB 2.0, 2 Port USB 3.0, HDMI, VGA OUT
;;;;;;;;;;;;;;;Feature;DVD Super Multi DL drive, Realtek PCIe GBE Family Controller, Bluetooth, Webcam, Qualcomm Atheros QCA9377 Wireless Network Adapter
